"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ASV13"	"nb_seq"	"nb_seq"	"nb_seq"	1.62547589495411	0	0.295325496346066	3.7123841857108e-08	0.000196496494949673	7.42476823360364e-08	0.000269964572973828	NA	"prevalence"	185	81
"ASV187"	"nb_seq"	"nb_seq"	"nb_seq"	1.5162410439309	0	0.291485894048551	1.97405023053574e-07	0.000522432393511284	3.94810007138406e-07	0.000478509728651748	NA	"prevalence"	185	43
"ASV758"	"nb_seq"	"nb_seq"	"nb_seq"	-5.88498026662087	-1.24755702628068	0.696733862479112	3.35812003093849e-07	0.000592484310791915	3.35812003093849e-07	0.000478509728651748	NA	"abundance"	185	37
"ASV166"	"nb_seq"	"nb_seq"	"nb_seq"	1.25921578978546	0	0.253297606385212	6.65089701171378e-07	0.000880079947075026	1.33017895999845e-06	0.00120913267463859	NA	"prevalence"	185	54
"ASV1128"	"nb_seq"	"nb_seq"	"nb_seq"	-8.34853231475187	-1.24755702628068	1.16128178077278	2.45774121321318e-06	0.00185840346307677	2.45774121321318e-06	0.00148939117520719	NA	"abundance"	185	35
"ASV481"	"nb_seq"	"nb_seq"	"nb_seq"	-9.31841703925409	-1.24755702628068	1.28402591728018	2.31610639556123e-06	0.00185840346307677	2.31610639556123e-06	0.00148939117520719	NA	"abundance"	185	32
"ASV378"	"nb_seq"	"nb_seq"	"nb_seq"	1.25917213126245	0	0.269606467500535	3.00602477024551e-06	0.00198886113861369	6.0120405043061e-06	0.00312282561052242	NA	"prevalence"	185	34
"ASV340"	"nb_seq"	"nb_seq"	"nb_seq"	1.20199837561726	0	0.264540645148702	5.52703061552801e-06	0.00265950664072634	1.10540306829886e-05	0.00401924555633465	NA	"prevalence"	185	39
"ASV56"	"nb_seq"	"nb_seq"	"nb_seq"	1.21726352882131	0	0.267890631436925	5.52274733001965e-06	0.00265950664072634	1.10454641593012e-05	0.00401924555633465	NA	"prevalence"	185	24
"ASV71"	"nb_seq"	"nb_seq"	"nb_seq"	1.1099866385829	0	0.244239434944716	5.50224492326293e-06	0.00265950664072634	1.10044595718267e-05	0.00401924555633465	NA	"prevalence"	185	49
"ASV217"	"nb_seq"	"nb_seq"	"nb_seq"	1.10337493809724	0	0.24512491692315	6.75466841838307e-06	0.0029793716615418	1.35092912112207e-05	0.00446543480399986	NA	"prevalence"	185	40
"ASV2"	"nb_seq"	"nb_seq"	"nb_seq"	2.50527788418091	0	0.569719041825672	1.09559433511794e-05	0.00414212915412802	2.1911766669664e-05	0.00569079882934987	NA	"prevalence"	185	137
"ASV445"	"nb_seq"	"nb_seq"	"nb_seq"	1.24414733232706	0	0.282096879044771	1.03201373943941e-05	0.00414212915412802	2.06401682835524e-05	0.00569079882934987	NA	"prevalence"	185	31
"ASV438"	"nb_seq"	"nb_seq"	"nb_seq"	1.19225869318243	0	0.273593372440125	1.31390620664732e-05	0.00463633703452284	2.62779514979944e-05	0.00636977544311385	NA	"prevalence"	185	32
"ASV263"	"nb_seq"	"nb_seq"	"nb_seq"	0.967154676183	0	0.223611719875915	1.52426726711624e-05	0.00504246665302892	3.04851130032547e-05	0.00692774192998964	NA	"prevalence"	185	57
